2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -292, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -318, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -160, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -260, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -449, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -188, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -208, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -129, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -428, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -446, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -496, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -812, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -169, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -245, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -898, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -446, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -465, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -163, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,033 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -1017, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -343, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -374, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -118, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -279, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -686, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -411, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -272, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -119, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -345, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,034 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -96, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -234, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -381, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -324, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -411, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -121, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -859, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -402, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -147, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -673, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -158, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -251, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,035 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -290, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -772, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -77, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -152, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -422, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -323, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -526, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -352, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -86, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -210, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -936, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,036 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -109, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -110, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -93, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -150, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -183, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -548, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -439, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -444, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -154, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -361, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -133, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -163, soft0Score: 20432, soft1Score: -8368
2014-10-06 10:17:45,037 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -823, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -98, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -318, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -224, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -89, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -77, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -601, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -361, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -1007, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,038 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -246, soft0Score: 20681, soft1Score: -8119
